title,author,isbn,origen
Sociología de la educación,Ana María Brígido,9789875914346,bidi
Metodología de la investigación jurídica,Guillermo Lariguet,9789875917873,bidi
Biología humana,Raquel Murialdo,9789875919471,bidi
Acompañando a Simone de Beauvoir,Sami Naïr,9788417971410,bidi
El género y nuestros cerebros,Gina Rippon,9788417971953,bidi
Para escribir hay que leer,Vanni Santoni,9788418807404,bidi
La fuerza de las mujeres,Denis Mukwege,9788419075406,bidi
Lenguaje inclusivo y ESI en las aulas,Carolina Tosi,9789501203257,bidi
Enseñar hoy,Andrea Alliaud,9789501203752,bidi
Las tareas pendientes,Agustín Porres,9789501203790,bidi
Hacer memoria. Aportes de la neuropsicología al aprendizaje,Karina Solcoff,9789501293944,bidi
Leer a Comenio,CAMILLONI  ALICIA,9789501294170,bidi
Recuperar la pedagogía. De lugares comunes a conceptos claves,Phillipe Meirieu,9789501294293,bidi
Motivaciones y valores de la educación,Manuel Pérez Rocha,9786077475002,bidi
Enséñale a aprender,María Luisa Ferrerós,9788408117834,bidi
Guía práctica para estudiar en el extranjero,Montserrat Oliveras,9788408143567,bidi
"Navegar entre culturas: educación, comunicación y ciudadanía digital",SILVIA BACHER,9789501294484,bidi
La evaluación como oportunidad,ANIJOVICH  REBECA,9789501294965,bidi
Reinventar la clase en la universidad,Mariana Maggio,9789501296990,bidi
El colapso de la Educación,Mariano Narodowski,9789501297133,bidi
Todo lo que necesitás saber sobre la reforma universitaria,Natalia Bustelo,9789501297409,bidi
Escritos para enseñar,Carolina Tosi,9789501297812,bidi
Neurociencias y educación,"Ferreres, Aldo Rodolfo",9789501298246,bidi
La aventura diferente,Cintia Fritz,9789878318110,bidi
Artes visuales,ARMANDO DILON,9789878321677,bidi
Universidad 2.0,Rafael Rangel Sostmann,9786071134288,bidi
La economía del bien común,Jean Tirole,9788430618866,bidi
La tierra elegida,FORN  JUAN,9789500438872,bidi
Economía feminista,Mercedes D'alessandro,9789500757355,bidi
Macroeconomía argentina,Lucas Llach,9789500760928,bidi
La guerra de las imágenes,Gustavo Varela,9789873804663,bidi
Guillermo Roux en sus propias palabras,María Paula Zacharías,9789873804700,bidi
Metodología de la investigación científica,Rubén Pérez,9789878321561,bidi
Maestras antiguas,Griselda Pollock,9788446050568,bidi
Avances de la Lingüística y su aplicación didáctica,Andrea Ariño Bizarro,9788446051879,bidi
Casos de investigación,Gemma Garcia,9789587783698,bidi
Cómo hacer un proyecto de investigación,Raúl Tafur,9789587780123,bidi
Neuroproceso de la enseñanza y del aprendizaje,Manuel Izaguirre,9789587782486,bidi
Gestión del conocimiento,Juan Gabriel Cegarra,9789587783773,bidi
"Nuevos pensamientos, nuevos lenguajes desde la perspectiva de género para nuevas realidades",Esther Mena Rodríguez,9788418819803,bidi
